GeneID1	GeneID2	PCC_mild	feature_type	PCC_mild_abs
S100A9	S100A8	0.708595127815671	protein-protein	0.708595127815671
SERPINA1	CST3	0.108039647154615	protein-protein	0.108039647154615
CA2	S100A8	0.242286795574562	protein-protein	0.242286795574562
FN1	CAMP	-0.189310194796231	protein-protein	0.189310194796231
S100A9	HP	0.19292337772832	protein-protein	0.19292337772832
S100A9	S100A8	0.708595127815671	protein-protein	0.708595127815671
APOA1	SERPINA1	0.144060853535289	protein-protein	0.144060853535289
CA2	MRC1	-0.274962181203588	protein-protein	0.274962181203588
FN1	SERPINA1	-0.405269147904952	protein-protein	0.405269147904952
PRG4	BCHE	0.484742503302847	protein-protein	0.484742503302847
GC	HP	0.210651865507638	protein-protein	0.210651865507638
GC	PON1	0.214836738472789	protein-protein	0.214836738472789
F7	KLKB1	0.238835272793612	protein-protein	0.238835272793612
F7	GC	0.1350585099585	protein-protein	0.1350585099585
SERPINA1	HP	0.356807136451555	protein-protein	0.356807136451555
SERPINA1	F7	-0.21527934978265	protein-protein	0.21527934978265
APOA1	GC	0.193242074445115	protein-protein	0.193242074445115
SOD1	BCHE	-0.292954370962089	protein-protein	0.292954370962089
SOD1	GC	-0.136095569815026	protein-protein	0.136095569815026
SOD1	APOA1	-0.327022808281199	protein-protein	0.327022808281199
S100A9	S100A8	0.708595127815671	protein-protein	0.708595127815671
SERPINA1	CST3	0.108039647154615	protein-protein	0.108039647154615
S100A9	S100A8	0.708595127815671	protein-protein	0.708595127815671
SELENOP	BCHE	0.380411297963789	protein-protein	0.380411297963789
KLKB1	BCHE	0.399426602603451	protein-protein	0.399426602603451
KLKB1	SELENOP	0.309493236476791	protein-protein	0.309493236476791
KLKB1	PON1	0.224743663090697	protein-protein	0.224743663090697
PRG4	HP	-0.171493352044569	protein-protein	0.171493352044569
GC	HP	0.210651865507638	protein-protein	0.210651865507638
GC	PRG4	-0.113335207080804	protein-protein	0.113335207080804
S100A8	CAMP	-0.141941107728289	protein-protein	0.141941107728289
CA2	PON1	0.161579302222268	protein-protein	0.161579302222268
FN1	APOA1	-0.177858192242295	protein-protein	0.177858192242295
S100A9	S100A8	0.708595127815671	protein-protein	0.708595127815671
PON1	BCHE	0.338962418778227	protein-protein	0.338962418778227
S100A8	GC	-0.278845366421089	protein-protein	0.278845366421089
S100A9	CST3	0.247131532078233	protein-protein	0.247131532078233
S100A9	CA2	0.158110982837092	protein-protein	0.158110982837092
PON1	HP	-0.185656412136305	protein-protein	0.185656412136305
KLKB1	PON1	0.224743663090697	protein-protein	0.224743663090697
GC	HP	0.210651865507638	protein-protein	0.210651865507638
GC	SELENOP	-0.337697355387695	protein-protein	0.337697355387695
GC	PON1	0.214836738472789	protein-protein	0.214836738472789
GC	KLKB1	0.278927587757976	protein-protein	0.278927587757976
F7	KLKB1	0.238835272793612	protein-protein	0.238835272793612
SERPINA1	HP	0.356807136451555	protein-protein	0.356807136451555
APOA1	PON1	0.201233682521142	protein-protein	0.201233682521142
APOA1	KLKB1	0.167229400912532	protein-protein	0.167229400912532
S100A9	S100A8	0.708595127815671	protein-protein	0.708595127815671
PRG4	BCHE	0.484742503302847	protein-protein	0.484742503302847
SOD1	CST3	0.237300192435277	protein-protein	0.237300192435277
S100A9	S100A8	0.708595127815671	protein-protein	0.708595127815671
CA2	SERPINA1	0.263611264557575	protein-protein	0.263611264557575
FN1	ITGB3	0.120081128673381	protein-protein	0.120081128673381
PRG4	HP	-0.171493352044569	protein-protein	0.171493352044569
GC	HP	0.210651865507638	protein-protein	0.210651865507638
GC	PON1	0.214836738472789	protein-protein	0.214836738472789
GC	PRG4	-0.113335207080804	protein-protein	0.113335207080804
SERPINA1	HP	0.356807136451555	protein-protein	0.356807136451555
SERPINA1	F7	-0.21527934978265	protein-protein	0.21527934978265
S100A9	S100A8	0.708595127815671	protein-protein	0.708595127815671
MRC1	CAMP	0.167809644486382	protein-protein	0.167809644486382
PON1	HP	-0.185656412136305	protein-protein	0.185656412136305
